title,genre,language,imdb_score,premiere,runtime,year
Soni,Crime drama,Hindi,7.2,1/18/2019,97,2019-01-01
Saving Capitalism,Documentary,English,6.8,11/21/2017,73,2017-01-01
Road to Roma,Making-of,Spanish,7.7,2/11/2020,72,2020-01-01
Upstarts,Drama,Hindi,6.7,10/18/2019,112,2019-01-01
Nobody Sleeps in the Woods Tonight,Horror,Polish,4.8,10/28/2020,103,2020-01-01
The Boys in the Band,Drama,English,6.8,9/30/2020,121,2020-01-01
The Princess Switch: Switched Again,Romantic comedy,English,5.4,11/19/2020,97,2020-01-01
All the Bright Places,Romance,English,6.5,2/28/2020,108,2020-01-01
Fearless,Animation/Superhero,English,4.9,8/14/2020,89,2020-01-01
Small Crimes,Dark comedy,English,5.8,4/28/2017,95,2017-01-01
Loudon Wainwright III: Surviving Twin,One-man show,English,7.1,11/13/2018,91,2018-01-01
Rebirth,Thriller,English,5.0,7/15/2016,100,2016-01-01
Geez & Ann,Romantic drama,Indonesian,5.1,2/25/2021,105,2021-01-01
The Two Popes,Drama,English,7.6,12/20/2019,125,2019-01-01
Double Dad,Comedy-drama,Portuguese,5.6,1/15/2021,103,2021-01-01
Como Caído del Cielo,Musical comedy,Spanish,6.4,12/24/2019,112,2019-01-01
Sandy Wexler,Comedy,English,5.2,4/14/2017,131,2017-01-01
Operation Varsity Blues: The College Admissions Scandal,Documentary,English,7.0,3/17/2021,99,2021-01-01
Life Overtakes Me,Documentary,English/Swedish,6.5,6/14/2019,40,2019-01-01
The Discovery,Science fiction/Drama,English,6.3,3/31/2017,102,2017-01-01
Cops and Robbers,Animation / Short,English,6.9,12/28/2020,7,2020-01-01
My Octopus Teacher,Documentary,English,8.1,9/7/2020,85,2020-01-01
The Speed Cubers,Documentary,English,7.4,7/29/2020,40,2020-01-01
ReMastered: The Miami Showband Massacre,Documentary,English,7.0,3/22/2019,70,2019-01-01
The Devil All the Time,Psychological thriller,English,7.1,9/16/2020,138,2020-01-01
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,English,7.5,11/22/2017,108,2017-01-01
I Am the Pretty Thing That Lives in the House,Horror,English,4.6,10/28/2016,89,2016-01-01
Seaspiracy,Documentary,English,8.2,3/24/2021,89,2021-01-01
The Highwaymen,Crime drama,English,6.9,3/29/2019,131,2019-01-01
Rooting for Roona,Documentary,Bengali,7.1,10/15/2020,41,2020-01-01
ReMastered: Massacre at the Stadium,Documentary,English/Spanish,7.3,1/11/2019,64,2019-01-01
Spectral,Science fiction/Action,English,6.3,12/9/2016,108,2016-01-01
Juanita,Drama,English,6.0,3/8/2019,90,2019-01-01
"Crack: Cocaine, Corruption & Conspiracy",Documentary,English,6.7,1/11/2021,89,2021-01-01
The Land of Steady Habits,Drama,English,6.2,9/14/2018,98,2018-01-01
Searching for Sheela,Documentary,English,4.1,4/22/2021,58,2021-01-01
Pagglait,Comedy-drama,Hindi,6.9,3/26/2021,114,2021-01-01
Becoming,Documentary,English,6.8,5/6/2020,89,2020-01-01
Arlo the Alligator Boy,Animated musical comedy,English,6.7,4/16/2021,92,2021-01-01
Roxanne Roxanne,Biopic,English,6.2,3/23/2018,98,2018-01-01
Choked: Paisa Bolta Hai,Drama,Hindi,5.8,6/5/2020,114,2020-01-01
Just Say Yes,Romantic comedy,Dutch,4.5,4/2/2021,97,2021-01-01
Milestone,Drama,Hindi,6.6,5/7/2021,98,2021-01-01
Sardar Ka Grandson,Comedy,Hindi,4.1,5/18/2021,139,2021-01-01
The After Party,Comedy,English,5.8,8/24/2018,89,2018-01-01
Gaga: Five Foot Two,Documentary,English,7.0,9/22/2017,100,2017-01-01
Disclosure: Trans Lives on Screen,Documentary,English,8.2,6/19/2020,107,2020-01-01
A Love Song for Latasha,Documentary,English,6.8,9/21/2020,19,2020-01-01
